mac,name,long,lat,error
90:ef:68:ca:ac:89,Adrian,6.5750527,46.5417605,158
7c:b7:33:85:d4:00,aed-65320,6.5763656,46.5413323,50
ec:f4:51:ff:fc:76,aldebaran0341,6.5762683,46.5413457,14
a0:64:8f:bb:81:60,aldebaran0341,6.5760991,46.5414379,50
1c:24:cd:4b:ee:a0,Alves WIFI,6.5760968,46.5417264,447
f6:c2:48:6b:c9:64,AndroidAP6385,6.574465,46.5422594,112
38:2c:4a:4e:d3:d8,apzuzu6,6.5750463,46.5421444,8
b0:7f:b9:3e:f1:f1,apzuzu6_EXT,6.575112,46.5422243,1
3c:37:86:c6:7d:da,apzuzu6_EXT2,6.5749114,46.5421823,7
ce:50:e3:2e:85:7e,apzuzu6_EXT3,6.5749067,46.5421885,22
d8:fb:5e:c0:90:6d,aqp-71511,6.5762493,46.5413497,112
ec:f4:51:ae:e2:e0,ATB-74564,6.5767512,46.5415813,282
48:8d:36:c9:90:74,aur-38771,6.5743687,46.5420562,200
5c:dc:96:b9:7c:1d,baj-34992,6.5741691,46.5416048,398
00:b1:e3:25:bf:88,Crassus-wifi-2.4G,6.5744894,46.5419325,251
7c:b7:33:3f:a2:ee,cuo-36796,6.5740927,46.541642,224
30:d3:2d:cb:ca:64,devolo-a64,6.5742064,46.54173,158
30:d3:2d:cb:d2:40,devolo-a64,6.5742313,46.541755,200
b0:ea:bc:b3:d4:50,dhg-87555,6.5749039,46.5417954,178
4a:5f:99:03:48:0b,DIRECT-0b-HP M477 LaserJet,6.5749705,46.5422652,282
8e:57:9b:07:4c:83,DIRECT-9n-BRAVIA,6.5762527,46.5416828,126
12:08:c1:df:e3:ea,DIRECT-AP[TV][LG]60LB580V-ZM,6.5763656,46.5413323,35
ae:e2:d3:ca:e5:ce,DIRECT-CE-HP OfficeJet 5200,6.5743809,46.5421847,63
9e:ad:97:c1:9f:b7,DIRECT-dt-BRAVIA,6.5743025,46.5418067,282
00:78:88:e0:6e:e1,DK_MDE,6.5742313,46.541755,141
00:78:88:e0:6e:e2,DK_Pub,6.5741489,46.5416962,126
1c:24:cd:6f:40:d0,dxh-12522,6.5742064,46.54173,282
e8:d1:1b:5e:e4:40,dym-55538,6.5752029,46.5420469,178
ec:f4:51:7f:a3:39,ech-02870,6.5744894,46.5419325,35
d8:b0:4c:c0:f7:10,ECU_R_216000002442,6.5751536,46.5422885,316
00:1b:63:2b:78:4b,EDU-VD,6.5750679,46.5423802,355
90:5c:44:f2:85:e6,Error 404,6.5767409,46.5414379,158
86:83:c2:87:2c:2b,erteco-iot,6.5743534,46.5419439,355
c4:06:83:3f:ac:1a,Fanny,6.5749636,46.5417747,40
1c:24:cd:44:49:c0,fjc-53416,6.5767151,46.5415735,316
8c:fe:74:31:0e:b8,FMEL,6.5762493,46.5413497,28
8c:fe:74:31:0d:58,FMEL,6.5762493,46.5413497,40
8c:fe:74:31:0d:98,FMEL,6.5761838,46.5413861,89
8c:fe:74:2d:6a:98,FMEL,6.5762683,46.5413457,100
8c:fe:74:2d:7e:18,FMEL,6.5761838,46.5413861,100
8c:fe:74:31:0a:f8,FMEL,6.5763656,46.5413323,126
8c:fe:74:2d:70:18,FMEL,6.5765897,46.541326,141
8c:fe:74:2d:6a:58,FMEL,6.5763442,46.5413311,141
8c:fe:74:2d:70:08,FMEL,6.576706,46.5413371,178
8c:fe:74:31:09:e8,FMEL,6.5761952,46.5413778,200
8c:fe:74:2d:6a:d8,FMEL,6.5765897,46.541326,224
78:29:ed:3e:42:30,fpl-76051,6.5758246,46.5415289,224
c8:0e:14:0d:09:1c,FRITZ!Box 7490,6.5767498,46.5415141,178
1c:24:cd:1a:fd:00,fth-89239,6.5765295,46.5413269,32
ec:f4:51:e5:b7:46,fth-89239,6.576706,46.5413371,56
e4:57:40:d4:7b:9b,GafferNetwork,6.5750462,46.5421185,126
1c:24:cd:1b:d8:b0,Gigi80,6.5751537,46.5424076,398
54:67:51:fe:13:d1,GOGOwifi,6.5749705,46.5422652,251
3c:37:86:85:5e:d9,HomeSweetHome,6.5763656,46.5413323,200
dc:53:7c:b8:19:81,Hoxha_WiFi,6.5767498,46.5415141,251
28:92:4a:c3:a3:38,HP-Print-38-Officejet Pro 8600,6.5743251,46.5418813,355
e8:d1:1b:98:3e:d0,hrj88926,6.5743809,46.5421847,100
1c:13:86:d3:63:4b,HUAWEI_B818_634B,6.5746371,46.5418748,282
c0:b5:cd:ac:90:53,HUAWEI_B818_9053,6.5763656,46.5413323,40
dc:d9:16:3e:3d:54,HUAWEI-3D54,6.5751883,46.5423409,79
d0:16:b4:84:8e:93,HUAWEI-8E93,6.575112,46.5422243,28
b0:e1:7e:ab:a2:67,HUAWEI-A267,6.576754,46.5415525,50
a0:b5:49:12:77:79,hyj-39315,6.5760968,46.5417264,282
54:67:51:06:12:34,Kadioglu,6.5765667,46.5415872,251
90:5c:44:22:36:c1,Konate,6.5766409,46.541318,89
b4:ee:b4:83:dd:13,kty-12802,6.5762493,46.5413497,32
fc:b4:e6:33:58:09,linksysmanuel,6.5747733,46.5418451,50
34:29:12:0e:b0:cd,LYA-L29%08%CloudClone,6.5760572,46.5417393,282
04:18:d6:82:c3:55,Marcolet 15,6.5743809,46.5421847,141
04:18:d6:82:c4:7f,Marcolet 15,6.5743528,46.5420161,158
b4:ec:02:79:a9:9b,MB Hotspot 74173 2.4 GHz,6.5742313,46.541755,355
ec:f4:51:ea:58:46,mhj-86336,6.5751536,46.5422885,141
1c:24:cd:33:6b:c0,mhj-86336,6.5751536,46.5422885,316
ec:f4:51:e8:c6:86,mni-94777,6.5767433,46.541795,158
f4:63:1f:71:67:6f,Moksha,6.5767593,46.5417717,178
1c:24:cd:38:59:10,MonWifiEtPasLeTien ,6.5751812,46.5423194,35
b0:ea:bc:ae:f8:f0,nli-86919,6.5759538,46.5414903,79
34:12:f9:42:2b:6d,One can never have...,6.5767409,46.5414379,126
b0:05:94:31:c5:c1,PS4-CE586EE4E6E5,6.5767288,46.5413883,100
78:d3:8d:fc:e9:a9,RCProductions-EXT,6.5750679,46.5423802,13
7a:d3:8d:fc:e9:a9,RCProductions-EXT pour Ariane,6.5750679,46.5423802,10
8a:d3:8d:fc:e9:a9,RCProductions-EXT pour Yasmine,6.5749569,46.5422483,20
60:e3:27:f0:10:81,RVZ-00300,6.5751046,46.5424101,447
d0:66:7b:a5:f6:b4,SEC_LinkShare_52e4fc,6.5767593,46.5417717,355
e8:be:81:b9:7f:da,Sinaud_2.4,6.5743912,46.5422149,89
a0:b5:49:0f:a7:29,sjm-42413,6.5742313,46.541755,316
1c:24:cd:29:1d:50,Solachris15,6.5742766,46.5418172,282
c0:f4:e6:af:0d:b9,Sunrise 4G WiFi Tower,6.5751536,46.5422885,178
f8:08:4f:01:b0:62,Sunrise_2.4GHz_01B05E,6.5759538,46.5414903,35
f8:08:4f:04:4b:7a,Sunrise_2.4GHz_044B76,6.5764547,46.5416181,316
38:35:fb:16:0b:80,Sunrise_2.4GHz_160B7C,6.576706,46.5413371,316
38:35:fb:39:b3:b4,Sunrise_2.4GHz_39B3B0,6.57521,46.54171,251
38:35:fb:52:e9:84,Sunrise_2.4GHz_52E980,6.5744016,46.5422385,501
40:c7:29:66:26:54,Sunrise_2.4GHz_662650,6.574837,46.541821,45
58:90:43:8c:c0:84,Sunrise_2.4GHz_8CC080,6.5743129,46.5416957,158
58:90:43:a6:90:84,Sunrise_2.4GHz_A69080,6.5756882,46.5415762,71
b0:ea:bc:2c:b3:e1,teran invites,6.5767498,46.5415141,200
b4:cd:27:ab:3c:69,thermoap01,6.5743305,46.5418789,141
00:05:fe:c5:7a:f6,TI BPL2 TRC,6.5765897,46.541326,50
e4:3e:d7:42:f7:29,tji-59218,6.5747733,46.5418451,50
c4:3d:c7:89:14:ba,TvT_0004656,6.5754661,46.541951,45
92:5c:14:53:0d:d1,UPC Wi-Free,6.5744016,46.5422385,11
56:67:11:22:22:e5,UPC Wi-Free,6.5765295,46.5413269,14
92:5c:14:27:4b:43,UPC Wi-Free,6.5767627,46.5416445,18
92:5c:14:25:e2:b3,UPC Wi-Free,6.5766624,46.5413184,22
92:5c:14:a8:34:97,UPC Wi-Free,6.5743129,46.5416957,32
3a:43:1d:38:b0:73,UPC Wi-Free,6.5767512,46.5415813,50
56:67:11:bd:4d:be,UPC Wi-Free,6.5743912,46.5422149,56
56:67:11:2e:f7:9e,UPC Wi-Free,6.5766304,46.5415742,56
92:5c:14:dd:59:e8,UPC Wi-Free,6.5743912,46.5422149,56
de:53:1c:ba:96:d8,UPC Wi-Free,6.5754661,46.541951,56
3a:43:1d:88:b7:fc,UPC Wi-Free,6.5755325,46.5419363,63
36:2c:94:5e:6e:8b,UPC Wi-Free,6.5767547,46.5414893,63
92:5c:14:22:9e:4a,UPC Wi-Free,6.5765152,46.5415999,71
56:67:11:2a:61:32,UPC Wi-Free,6.5751536,46.5422885,79
ae:22:15:de:19:38,UPC Wi-Free,6.5763308,46.5416596,79
ae:22:15:ce:e9:92,UPC Wi-Free,6.5763656,46.5413323,89
56:67:11:e5:16:d5,UPC Wi-Free,6.5751537,46.5424076,89
3a:43:1d:88:b6:4e,UPC Wi-Free,6.5754325,46.5416449,100
92:5c:14:83:e6:4f,UPC Wi-Free,6.575171,46.5423998,100
92:5c:14:4b:9e:93,UPC Wi-Free,6.57521,46.54171,100
56:67:11:dd:86:3c,UPC Wi-Free,6.5765667,46.5415872,112
92:5c:14:ad:93:21,UPC Wi-Free,6.5749067,46.5421885,112
92:5c:14:22:36:c1,UPC Wi-Free,6.5766624,46.5413184,112
56:67:11:e8:4e:2b,UPC Wi-Free,6.575987,46.541769,112
3a:43:1d:8e:fa:6a,UPC Wi-Free,6.5753701,46.5416664,126
92:5c:14:7d:55:8a,UPC Wi-Free,6.5765667,46.5415872,126
92:5c:14:a4:ce:b2,UPC Wi-Free,6.5762527,46.5416828,126
56:67:11:22:5e:30,UPC Wi-Free,6.5750737,46.5423861,141
3a:43:1d:a3:bf:cd,UPC Wi-Free,6.5750737,46.5423861,141
92:5c:14:f2:85:e6,UPC Wi-Free,6.5767409,46.5414379,158
92:5c:14:07:97:b7,UPC Wi-Free,6.5761247,46.5417203,158
92:5c:14:83:fc:e6,UPC Wi-Free,6.5750737,46.5423861,158
36:2c:94:0f:f0:6f,UPC Wi-Free,6.5755325,46.5419363,178
ae:22:15:c7:17:d6,UPC Wi-Free,6.5767424,46.5416224,178
de:53:1c:b8:19:81,UPC Wi-Free,6.5767288,46.5413883,178
36:2c:94:34:98:75,UPC Wi-Free,6.5743688,46.5421322,178
36:2c:94:6b:a1:9e,UPC Wi-Free,6.5750737,46.5423861,178
92:5c:14:27:b8:4e,UPC Wi-Free,6.5765503,46.5415906,178
56:67:11:2b:09:55,UPC Wi-Free,6.5762527,46.5416828,200
92:5c:14:75:d4:20,UPC Wi-Free,6.576753,46.5417426,200
92:5c:14:ce:d4:35,UPC Wi-Free,6.5760968,46.5417264,200
92:5c:14:a8:06:6f,UPC Wi-Free,6.5767547,46.5414893,224
3a:43:1d:41:dd:2f,UPC Wi-Free,6.5750463,46.5421444,224
e6:57:40:c0:c3:91,UPC Wi-Free,6.5764367,46.5416236,224
de:53:1c:8b:65:8c,UPC Wi-Free,6.5749176,46.5422284,251
56:67:11:c9:d2:d1,UPC Wi-Free,6.5751536,46.5422885,251
36:2c:94:11:21:98,UPC Wi-Free,6.5741489,46.5416962,251
3a:43:1d:f1:5a:6b,UPC Wi-Free,6.5767383,46.5417898,251
ae:22:15:85:c5:6e,UPC Wi-Free,6.5758922,46.5415098,251
56:67:11:06:12:34,UPC Wi-Free,6.5765667,46.5415872,282
de:53:1c:ef:8e:bb,UPC Wi-Free,6.576738,46.5416106,282
36:2c:94:5e:71:5f,UPC Wi-Free,6.5750737,46.5423861,282
ae:22:15:22:4e:aa,UPC Wi-Free,6.5767305,46.5413977,316
56:67:11:29:9e:44,UPC Wi-Free,6.5756447,46.5418882,316
92:5c:14:05:2a:57,UPC Wi-Free,6.5762192,46.541692,316
de:53:1c:ad:34:a4,UPC Wi-Free,6.5764162,46.541632,316
56:67:11:eb:4c:32,UPC Wi-Free,6.5750874,46.5423988,316
36:2c:94:71:dc:20,UPC Wi-Free,6.5767288,46.5413883,316
56:67:11:fe:13:d1,UPC Wi-Free,6.5749569,46.5422483,316
ae:22:15:c6:28:f9,UPC Wi-Free,6.5751536,46.5422885,316
56:67:11:fd:db:8e,UPC Wi-Free,6.576738,46.5416106,355
92:5c:14:de:02:47,UPC Wi-Free,6.5751046,46.5424101,355
56:67:11:e8:ea:a7,UPC Wi-Free,6.5765897,46.541326,355
36:2c:94:84:34:15,UPC Wi-Free,6.5761247,46.5417203,355
ae:22:15:84:0a:7f,UPC Wi-Free,6.5750737,46.5423861,398
3a:43:1d:9b:27:c3,UPC Wi-Free,6.5743912,46.5422149,398
92:5c:14:05:be:55,UPC Wi-Free,6.575112,46.5422243,398
ae:22:15:2f:3a:46,UPC Wi-Free,6.5742064,46.54173,398
36:2c:94:72:07:8f,UPC Wi-Free,6.5766056,46.5413233,447
36:2c:94:5d:60:4b,UPC Wi-Free,6.5742766,46.5418172,447
56:67:11:fd:db:b7,UPC Wi-Free,6.5763789,46.5416447,447
56:67:11:fe:0d:50,UPC Wi-Free,6.5765897,46.541326,447
3a:43:1d:9b:1c:5e,UPC Wi-Free,6.5750463,46.5421444,501
56:67:11:c6:8c:23,UPC Wi-Free,6.5742313,46.541755,501
3a:43:1d:a4:56:07,UPC Wi-Free,6.5749569,46.5422483,501
92:5c:14:4b:93:2d,UPC Wi-Free,6.5766056,46.5413233,562
56:67:11:b9:dd:a2,UPC Wi-Free,6.5763308,46.5416596,631
28:be:9b:06:19:70,UPC0038956,6.5764547,46.5416181,251
34:2c:c4:71:dc:20,UPC1205070,6.5767288,46.5413883,316
90:5c:44:a8:34:97,UPC17E648D,6.5749039,46.5417954,35
90:5c:44:7d:55:8a,UPC19F466E,6.5765152,46.5415999,158
38:43:7d:f1:5a:6b,UPC2137701,6.5767638,46.5416916,224
38:43:7d:88:b7:fc,UPC2203812,6.5754661,46.541951,71
c4:27:95:be:60:e5,UPC2310492,6.5754953,46.5416255,282
54:67:51:fd:db:8e,UPC2367964,6.5767478,46.5416455,447
64:7c:34:90:a0:af,UPC2763130,6.5741628,46.5417067,316
90:5c:44:1d:06:33,UPC2913D37,6.5765152,46.5415999,316
90:5c:44:83:fc:e6,UPC29E3417,6.5750737,46.5423861,112
54:67:51:b9:dd:a2,UPC2BEFDC3,6.5763308,46.5416596,398
34:2c:c4:11:21:98,UPC3386356,6.5741489,46.5416962,200
54:67:51:fd:db:b7,UPC33E6D82,6.5764162,46.541632,447
ac:22:05:de:19:38,UPC3DF8B6F,6.5763308,46.5416596,71
34:2c:c4:5d:60:4b,UPC4455098,6.5742766,46.5418172,355
34:2c:c4:5e:6e:8b,UPC4586505,6.5767409,46.5414379,71
54:67:51:2a:61:32,UPC46DF3EF,6.5750373,46.5423404,71
90:5c:44:27:b8:4e,UPC48478BC,6.5766593,46.5415669,112
90:5c:44:a8:06:6f,UPC4BE516B,6.5767547,46.5414893,224
90:5c:44:05:2a:57,UPC4FD67EF,6.5767512,46.5415813,316
54:67:51:2e:f7:9e,UPC53FA795,6.5766304,46.5415742,50
90:5c:44:53:0d:d1,UPC578B7A3,6.5744148,46.5422492,9
54:67:51:e8:4e:2b,UPC57F67AE,6.5761247,46.5417203,100
34:2c:c4:84:34:15,UPC5841864 2.4GHZ,6.5767469,46.5414572,398
dc:53:7c:8b:65:8c,UPC5F9AF36,6.5760487,46.541462,224
38:43:7d:8e:fa:6a,UPC6439111,6.5753701,46.5416664,112
90:5c:44:22:9e:4a,UPC65FA757,6.5765152,46.5415999,89
34:2c:c4:5e:71:5f,UPC6683612,6.5750828,46.5421898,282
90:5c:44:07:97:b7,UPC681C4FE,6.576706,46.5413371,141
90:5c:44:83:e6:4f,UPC69AA7F9,6.5751537,46.5424076,112
54:67:51:22:22:e5,UPC6F6F4C1,6.5765192,46.5413293,10
34:2c:c4:6b:a1:9e,UPC7083705,6.5750737,46.5423861,200
6e:b0:ce:f7:f0:f6,UPC72E5C4E_EXT,6.5743659,46.5420829,8
dc:53:7c:ad:34:a4,UPC745F177,6.5767424,46.5416224,282
ac:22:05:85:c5:6e,UPC7482BAC,6.5758922,46.5415098,126
ac:22:05:22:4e:aa,UPC7AAB2FB,6.5767305,46.5413977,355
38:43:7d:38:b0:73,UPC8461370,6.5767512,46.5415813,50
38:43:7d:a3:bf:cd,UPC8773645,6.5750737,46.5423861,178
54:67:51:22:5e:30,UPC8CD6FFB,6.5750737,46.5423861,178
ac:22:05:ce:e9:92,UPC8D6737C,6.5763442,46.5413311,71
90:5c:44:ce:d4:35,UPC8EC9133,6.5760968,46.5417264,282
34:2c:c4:34:98:75,UPC9197578,6.5743688,46.5421322,224
38:43:7d:88:b6:4e,UPC9241635,6.5754325,46.5416449,100
e4:57:40:c0:c3:c1,UPC9568736,6.5764987,46.5416042,158
ac:22:05:84:0a:7f,UPC98F97D8,6.5750737,46.5423861,355
54:67:51:e5:16:d5,UPC9B15B32,6.5750737,46.5423861,126
54:67:51:fe:0d:50,UPCA13B887,6.5766056,46.5413233,398
90:5c:44:de:02:47,UPCA1AA9E3,6.5751046,46.5424101,224
dc:53:7c:ba:96:d8,UPCA8BF168,6.5754661,46.541951,40
ac:22:05:c7:1c:74,UPCABB651A,6.5742766,46.5418172,355
54:67:51:c9:d2:d1,UPCB299242,6.5751536,46.5422885,316
54:67:51:7d:d7:d4,UPCB5D675F,6.5763656,46.5413323,50
90:5c:44:c8:5d:e8,UPCB76BCD4,6.5762527,46.5416828,398
90:5c:44:4b:93:2d,UPCBF21657,6.5766056,46.5413233,316
54:67:51:29:9e:44,UPCBF2D62C,6.5756447,46.5418882,282
90:5c:44:27:4b:43,UPCC75E4EE,6.5767627,46.5416445,18
54:67:51:bd:4d:be,UPCC81FA2A,6.5743809,46.5421847,45
54:67:51:eb:4c:32,UPCCDDC593,6.5751536,46.5422885,282
ac:22:05:c7:17:d6,UPCCF2CA1A,6.5767424,46.5416224,178
90:5c:44:05:be:55,UPCE86AC2E,6.575112,46.5422243,355
90:5c:44:dd:59:e8,UPCEB861D9,6.5743912,46.5422149,63
90:5c:44:4b:9e:93,UPCEF3C5ED,6.57521,46.54171,112
54:67:51:2b:09:55,UPCEF73C85,6.5762527,46.5416828,224
90:5c:44:25:e2:b3,UPCEFAC398,6.5766624,46.5413184,22
90:5c:44:ad:93:21,UPCF2C6A3A,6.5749067,46.5421885,100
ac:22:05:c6:28:f9,UPCF5B5FC5,6.5751536,46.5422885,282
54:67:51:dd:86:3c,UPCF7744D7,6.5764547,46.5416181,126
90:5c:44:75:d4:20,UPCF962374,6.5763789,46.5416447,224
ec:f4:51:8f:5e:47,ValdezSabando,6.5767638,46.5416916,501
5c:dc:96:89:dc:d3,vcr-99345,6.5751536,46.5422885,79
b0:ea:bc:4b:10:d0,vcy-48117-5Ghz,6.5756669,46.5418818,56
ec:f4:51:ff:fc:77,visitor-23996,6.5760487,46.541462,13
a0:64:8f:bb:81:61,visitor-23996,6.5761546,46.5414019,89
b4:ee:b4:83:dd:14,visitor-49687,6.5762683,46.5413457,35
7c:b7:33:3f:a2:ef,visitor-57602,6.5741489,46.5416962,251
18:e8:29:6a:cd:96,Wifi-Ortho-Reha,6.5742766,46.5418172,398
38:43:7d:9b:1c:5e,Wifi-Piermaria,6.5750828,46.5421898,355
34:2c:c4:0f:f0:6f,WiFiCus,6.5756669,46.5418818,158
1c:b0:44:5c:bf:90,wmc-42326,6.5767529,46.5417195,224
68:a0:3e:86:c6:5a,Xperia Z5 Dual_86b5,6.5767424,46.5416224,224
1c:24:cd:40:dc:80,xrd-82638,6.5751536,46.5422885,126
34:12:f9:02:a9:15,yalloHome-B529-A915,6.5742313,46.541755,71
a8:d3:f7:3c:bd:e0,zos-98127,6.5757808,46.5418412,50